,0
Start,2021-01-01 04:00:00
End,2025-03-26 00:00:00
Duration,1544 days 20:00:00
Exposure Time [%],3.559870550161812
Equity Final [$],1102896.5687540004
Equity Peak [$],1111132.1687540002
Commissions [$],27303.021646000005
Return [%],10.289656875400036
Buy & Hold Return [%],143.6621524614383
Return (Ann.) [%],2.339236179023141
Volatility (Ann.) [%],4.88779151485989
CAGR [%],2.3410233019734106
Sharpe Ratio,0.47858755266287084
Sortino Ratio,0.7781922580850797
Calmar Ratio,0.43720222737494935
Alpha [%],10.470004328870024
Beta,-0.0012553581467352488
Max. Drawdown [%],-5.350467203857557
Avg. Drawdown [%],-1.2765730316905173
Max. Drawdown Duration,468 days 12:00:00
Avg. Drawdown Duration,49 days 17:00:00
# Trades,28
Win Rate [%],50.0
Best Trade [%],5.000481799452139
Worst Trade [%],-3.0004587666748295
Avg. Trade [%],0.9210802193826861
Max. Trade Duration,12 days 12:00:00
Avg. Trade Duration,1 days 20:00:00
Profit Factor,1.6670111206278568
Expectancy [%],1.00030609660788
SQN,1.2506833638891661
Kelly Criterion,0.1941017510841161
_strategy,str
_equity_curve,"                           Equity  DrawdownPct DrawdownDuration
Time                                                           
2021-01-01 04:00:00  1.000000e+06     0.000000              NaT
2021-01-01 08:00:00  1.000000e+06     0.000000              NaT
2021-01-01 12:00:00  1.000000e+06     0.000000              NaT
2021-01-01 16:00:00  1.000000e+06     0.000000              NaT
2021-01-01 20:00:00  1.000000e+06     0.000000              NaT
...                           ...          ...              ...
2025-03-25 08:00:00  1.105619e+06     0.004962              NaT
2025-03-25 12:00:00  1.103221e+06     0.007120              NaT
2025-03-25 16:00:00  1.101250e+06     0.008894              NaT
2025-03-25 20:00:00  1.105340e+06     0.005213              NaT
2025-03-26 00:00:00  1.102897e+06     0.007412  0 days 20:00:00

[9270 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  ...  Exit_signal_h(C)  Entry_signal_l(C)  Exit_signal_l(C)
0     10       321      321  ...      61543.506422       46733.486578      46733.486578
1     10       323      323  ...      61078.915424       45851.883576      45851.883576
2     10      1500     1500  ...      54696.059834       45443.168166      45443.168166
3     -9      2141     2168  ...      51687.601389       46940.685538      48919.397611
4     10      2731     2746  ...      47167.114421       44782.572100      44876.305579
5     11      2764     2775  ...      45968.367105       43686.324006      42139.252895
6    -16      3085     3088  ...      31253.716315       28042.321327      27801.773685
7    -15      3089     3099  ...      32709.569840       27720.928340      29139.290160
8    -15      3130     3131  ...      31753.807644       28719.951553      28718.132356
9    -23      3317     3317  ...      21787.709402       19147.200598      19147.200598
10   -22      3318     3332  ...      22239.844230       19111.291270      20745.555770
11   -24      3698     3700  ...      21427.373713       17997.669026      17765.986287
12   -24      3805     3807  ...      20128.192056       18334.318104      18334.557944
13   -29      4193     4268  ...      17507.936434       15863.918489      16796.653566
14    23      4619     4652  ...      22532.929597       21912.916581      21349.070403
15   -23      4807     4808  ...      23001.502288       18926.415455      18591.577712
16    17      5020     5032  ...      30686.261671       29387.989701      28842.998329
17    17      5037     5043  ...      30673.346016       28105.303443      27176.163984
18   -17      5824     5835  ...      28166.299677       25110.881908      25605.900323
19    14      6287     6291  ...      37743.015030       35467.055439      35266.584970
20    12      6449     6460  ...      43617.358588       41007.712486      40211.851412
21     8      7041     7042  ...      70105.973099       63485.575273      62663.056901
22     8      7125     7137  ...      69316.894324       65219.617091      64018.765676
23    -8      7663     7675  ...      63959.383887       59780.196846      60534.926113
24    -8      7746     7750  ...      64449.052203       55812.898804      56104.347797
25     8      8219     8249  ...      63225.422555       61076.774438      60788.267445
26     5      8693     8695  ...     109929.652217       96663.904724      94253.387783
27    -5      9131     9134  ...      94803.144933       78031.974046      79667.605067

[28 rows x 23 columns]"
